op,kind,exists_in_library,is_operator_like,is_meaningful_op,count,datasets
torch.Generator,torch,True,True,True,6,"cudallm_rl,drkernel_rl"
torch._C._nn.relu6,torch,True,True,True,1,cudallm_sft
torch._C._nn.relu6_,torch,True,True,True,1,cudallm_sft
torch._C._nn.softplus,torch,True,True,True,1,cudallm_sft
torch._assert,torch,True,True,True,1,cudallm_sft
torch.abs,torch,True,True,True,13634,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.absolute,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.acos,torch,True,True,True,8173,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.acosh,torch,True,True,True,4,"cudallm_sft,drkernel_coldstart"
torch.add,torch,True,True,True,8950,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.addbmm,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.addcdiv,torch,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.addcmul,torch,True,True,True,7872,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.addmm,torch,True,True,True,6124,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.addmv,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.addr,torch,True,True,True,12,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.affine_grid_generator,torch,True,True,True,18,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.all,torch,True,True,True,8563,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.allclose,torch,True,True,True,2,cudallm_sft
torch.amax,torch,True,True,True,8032,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.amin,torch,True,True,True,52,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.angle,torch,True,True,True,122,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.any,torch,True,True,True,8602,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.arccos,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.arccosh,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.arcsin,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.arcsinh,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.arctan,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.arctan2,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.arctanh,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
